id,n_numbers,range,std,count_small,count_large,count_duplicates,count_even,count_odd,count_div_2,count_div_3,count_div_5,count_div_7,count_primes,distance_simple,distance_max,distance_avg,easy_pairs,log_target,expr_depth,count_add,count_sub,count_mul,count_div,noncomm_ops,numbers,target,solution
0,3,25,12.662279942148386,0,0,0,1,2,1,0,1,1,1,0,54,65.33333333333334,0,1.9912260756924949,2,2,0,0,0,0,"[44, 19, 35]",98,((44 + 19) + 35)
1,3,33,18.77054430040145,0,3,0,1,2,1,2,1,1,0,190,32,20.66666666666667,0,1.806179973983887,2,1,1,0,0,1,"[63, 95, 96]",64,((63 - 95) + 96)
2,3,84,42.035699113967404,0,2,0,1,2,1,0,1,1,1,134,67,26.0,0,1.4471580313422192,2,1,1,0,0,1,"[95, 11, 56]",28,(95 - (11 + 56))
3,3,55,27.51363298439521,0,1,0,1,2,1,1,1,0,1,90,26,2.0,0,1.6812412373755872,2,1,1,0,0,1,"[19, 74, 45]",48,((19 + 74) - 45)
4,3,32,16.65332799572906,0,1,0,0,3,0,0,0,1,2,146,56,37.333333333333336,1,1.2304489213782739,2,1,1,0,0,1,"[49, 41, 73]",17,((49 + 41) - 73)
5,3,20,10.263202878893768,0,0,0,3,0,3,2,0,2,0,56,14,22.666666666666664,2,1.792391689498254,2,1,1,0,0,1,"[48, 28, 42]",62,((48 - 28) + 42)
6,4,82,38.27422979847755,1,2,0,1,3,1,2,0,0,1,119,1,31.75,5,1.9138138523837167,3,1,1,0,1,2,"[83, 78, 1, 39]",82,((83 - (78 / 39)) + 1)
7,4,47,22.0661883130428,0,1,0,1,3,1,1,1,1,2,41,31,63.25,0,1.9912260756924949,3,1,1,1,0,1,"[67, 21, 31, 20]",98,(67 + ((21 - 20) * 31))
8,4,42,19.689252567496478,0,4,0,4,0,4,2,0,0,0,278,56,39.5,3,1.6020599913279625,2,0,2,1,0,2,"[96, 74, 94, 54]",40,((96 - 94) * (74 - 54))
9,3,22,11.930353445448855,0,3,0,2,1,2,2,0,1,0,162,19,10.666666666666671,0,1.8129133566428555,2,1,1,0,0,1,"[81, 84, 62]",65,((84 - 81) + 62)
10,3,52,26.764404221527766,1,1,0,2,1,2,1,0,0,2,38,19,10.666666666666668,1,1.5440680443502757,2,1,1,0,0,1,"[2, 54, 17]",35,(54 - (2 + 17))
11,4,45,20.1059692628831,0,2,0,3,1,3,0,0,0,1,153,31,8.25,0,1.6020599913279625,3,1,1,0,1,2,"[26, 71, 58, 38]",40,((26 / (71 - 58)) + 38)
12,4,18,7.937253933193772,0,0,0,2,2,2,3,0,1,0,114,23,16.5,2,1.2041199826559248,2,1,2,0,0,2,"[21, 39, 34, 36]",16,((39 - 21) + (34 - 36))
